x,y,z,Type,State,extra
95,108,0,1,7,0|6929|47494617|9
41,56,17,1,7,0|1534|47451535|9
0,8,16,1,7,0|14387|47549596|9
13,6,17,1,7,0|971|47336102|9
66,17,9,1,6,0|410|20|0
57,17,6,1,7,0|12860|47492427|9
5,52,2,1,6,0|5341|0|0
15,26,16,1,7,0|9480|47410760|9
94,91,13,2,5,0
123,65,3,1,7,0|8121|47606861|9
29,61,9,1,7,0|27126|47478616|9
26,18,9,1,7,0|4418|47342792|9
26,18,13,1,7,0|255|47337981|9
31,100,14,1,7,0|3342|47502031|9
5,59,19,1,7,0|1466|47395379|9
25,40,8,1,7,0|11445|47400364|9
1,54,1,1,7,0|10878|47526577|9
30,38,13,1,7,0|4138|47441306|9
46,61,18,1,7,0|13664|47618132|9
51,13,9,1,7,0|5350|47391799|9
50,28,7,1,6,0|35797|4|0
39,90,14,1,7,0|8490|47510090|9
39,6,19,1,7,0|176|47333908|9
46,24,17,1,7,0|12041|47556270|9
29,143,17,2,4,0
19,16,13,1,7,0|1676|32322513|9
50,92,18,1,7,0|28257|47484713|9
69,14,4,1,6,0|27478|38|0
20,0,14,1,7,0|1687|44956440|9
16,44,16,1,7,0|26654|47447939|9
14,5,11,1,7,0|2702|47341820|9
24,31,12,1,7,0|4643|47405393|9
27,0,6,1,7,0|1821|8190095|9
41,99,7,1,7,0|38936|47551643|9
31,139,5,1,7,0|55807|47562606|9
79,20,2,1,7,0|3391|47464869|9
41,13,2,1,7,0|21273|47497905|9
20,34,9,1,7,0|9225|47611884|9
101,38,15,1,7,0|7218|47592096|9
44,21,11,1,7,0|8486|47538752|9
6,46,4,1,7,0|37865|47556545|9
81,0,8,1,7,0|12769|47405017|9
23,22,10,1,7,0|5704|47375773|9
44,30,5,1,7,0|1737|47352453|9
37,33,2,1,7,0|23390|47609140|9
33,48,13,1,7,0|2142|47618132|9
78,21,8,1,7,0|8583|47443439|9
21,20,0,1,7,0|13122|47398828|9
22,66,18,1,7,0|11485|47418772|9
36,4,11,1,7,0|193|47336228|9
3,65,4,1,7,0|16319|47622663|9
22,10,8,1,7,0|971|47326080|9
45,15,19,1,7,0|30283|47464376|9
85,77,3,1,6,0|29634|20|0
82,11,4,1,7,0|39862|47589480|9
26,71,19,1,7,0|21736|47616398|9
18,30,12,1,7,0|16591|47373423|9
3,41,13,1,7,0|241|47419137|9
6,4,4,1,7,0|63|47327662|9
58,76,14,1,7,0|6907|47618558|9
18,14,2,1,7,0|3228|47352453|9
29,41,6,1,7,0|6333|47555311|9
55,1,10,1,7,0|13341|47365261|9
87,57,5,1,7,0|61362|47572119|9
87,12,11,1,7,0|1695|47338803|9
2,14,0,1,7,0|18846|47599215|9
73,3,11,1,7,0|6556|47503232|9
72,82,12,1,7,0|30175|47620061|9
63,8,5,1,7,0|1562|47561225|9
27,77,16,1,7,0|18035|47403235|9
52,31,19,1,7,0|13341|47556006|9
36,73,6,1,7,0|17433|47400559|9
145,18,7,2,5,0
3,15,12,1,7,0|4220|47486867|9
0,61,7,1,7,0|2209|47342340|9
11,2,10,1,7,0|12994|47390512|9
87,4,5,1,7,0|1695|47382088|9
16,13,3,1,7,0|4879|47630413|9
48,48,4,1,7,0|199|47425788|9
60,104,15,1,7,0|11951|47544561|9
1,64,7,1,7,0|5216|47401545|9
123,19,15,1,7,0|13924|47634461|9
49,32,10,1,7,0|8989|47436580|9
10,15,4,1,7,0|1292|47328704|9
104,141,1,1,7,0|33014|47604794|9
13,40,7,1,7,0|3473|47414009|9
2,65,5,1,7,0|15050|47484245|9
57,31,17,1,7,0|18766|47456267|9
43,55,13,1,7,0|2387|47346950|9
70,1,12,1,7,0|40061|47614364|9
20,21,14,1,7,0|19815|47415933|9
56,77,8,2,5,0
38,125,11,1,7,0|826|47526094|9
93,33,9,1,7,0|586|47483939|9
22,46,18,1,7,0|744|47433123|9
5,61,13,1,7,0|2438|47331947|9
127,58,7,1,7,0|6067|47475084|9
107,66,14,1,7,0|35585|47554457|9
5,41,6,1,7,0|696|47368325|9
11,51,5,1,7,0|2657|47371074|9
36,57,13,1,7,0|295|47533145|9
91,12,8,1,7,0|28426|47572119|9
73,81,15,1,7,0|2937|47392788|9
137,17,9,2,5,0
9,8,19,1,7,0|3795|47330420|9
3,40,3,1,7,0|28295|47493182|9
40,22,4,1,7,0|13747|47421073|9
2,107,3,1,7,0|36474|47628626|9
11,86,9,1,7,0|21129|47523738|9
4,116,14,1,7,0|14753|47534968|9
92,0,6,1,7,0|8492|47476568|9
78,121,17,1,7,0|24375|47583637|9
26,31,13,1,7,0|32927|47468798|9
34,51,11,1,7,0|474|47371253|9
12,23,1,1,7,0|102164|47615309|9
43,84,13,1,7,0|18889|47503834|9
0,73,5,1,7,0|2889|47565293|9
32,5,13,1,7,0|24075|47430203|9
