x,y,z,Type,State,extra
67,80,85,1,7,0|9|0|7
73,76,86,1,7,0|9|0|8
48,69,76,1,7,0|9|9|10
69,75,66,1,7,0|9|28|5
72,87,77,1,7,0|9|10|5
67,76,76,1,7,0|9|0|12
80,77,85,1,7,0|9|0|6
53,70,66,1,7,0|379|61|12
66,76,76,1,7,0|9|0|10
49,70,67,1,7,0|9|19|11
40,60,74,1,7,0|9|19|14
61,68,76,1,7,0|9|0|10
59,53,72,1,7,0|9|20|14
66,64,82,1,7,0|9|65|10
59,72,89,1,7,0|9|24|7
79,71,71,1,7,0|9|29|5
63,74,79,1,7,0|9|0|12
71,73,81,1,7,0|9|0|11
62,65,79,1,7,0|9|0|12
75,72,87,1,7,0|9|0|7
49,68,79,1,7,0|9|10|10
76,81,81,1,7,0|9|0|8
67,58,77,1,7,0|9|59|14
55,72,85,1,7,0|9|26|10
79,73,73,1,7,0|9|0|6
48,56,73,1,7,0|9|0|12
60,70,84,1,7,0|9|0|12
56,57,71,1,7,0|9|24|11
60,64,81,1,7,0|9|0|12
42,64,70,1,7,0|9|48|15
76,73,85,1,7,0|9|0|8
58,80,85,1,7,0|9|25|7
76,68,85,1,7,0|9|0|7
69,72,93,1,7,0|9|54|6
46,63,73,1,7,0|9|15|11
83,81,75,1,7,0|9|7|5
44,75,71,1,7,0|116|50|13
63,84,82,1,7,0|9|9|7
45,62,80,1,7,0|9|28|10
48,58,76,1,7,0|9|7|12
65,67,78,1,7,0|9|0|7
52,59,73,1,7,0|9|0|13
53,74,75,1,7,0|9|21|9
69,78,74,1,7,0|9|0|8
78,73,77,1,7,0|9|0|7
56,71,81,1,7,0|9|0|11
60,66,79,1,7,0|9|0|13
68,75,85,1,7,0|9|0|9
55,65,83,1,7,0|9|21|9
58,73,70,1,7,0|9|52|8
78,69,87,1,7,0|9|45|5
79,81,87,1,7,0|9|48|5
63,65,70,1,7,0|9|60|12
69,80,90,1,7,0|9|69|5
49,72,72,1,7,0|116|59|12
62,74,70,1,7,0|9|33|8
49,67,73,1,7,0|9|12|11
50,72,80,1,7,0|1922|13|16
67,71,74,1,7,0|9|0|8
76,69,82,1,7,0|9|10|5
55,75,79,1,7,0|9|58|9
77,70,87,1,7,0|9|46|5
77,76,67,1,7,0|9|12|5
50,54,74,1,7,0|9|61|11
61,66,72,1,7,0|9|61|12
72,88,70,1,7,0|9|30|5
51,71,74,1,7,0|9|39|9
67,64,85,1,7,0|9|53|6
77,77,76,1,7,0|9|0|9
54,58,69,1,7,0|9|0|11
51,65,64,1,7,0|9|25|12
78,75,75,1,7,0|9|0|7
73,85,80,1,7,0|9|0|7
74,66,81,1,7,0|9|54|6
81,75,84,1,7,0|9|11|6
83,76,75,1,7,0|9|9|5
57,70,84,1,7,0|9|0|11
51,76,77,1,7,0|379|37|14
49,54,71,1,7,0|9|56|11
71,72,84,1,7,0|9|0|10
70,71,87,1,7,0|9|0|8
49,63,77,1,7,0|9|30|10
70,70,81,1,7,0|9|0|8
58,67,69,1,7,0|9|19|9
63,63,76,1,7,0|9|19|9
51,54,68,1,7,0|9|47|10
66,64,76,1,7,0|9|8|10
65,82,78,1,7,0|9|0|7
66,76,77,1,7,0|9|0|11
57,67,74,1,7,0|9|0|11
74,84,76,1,7,0|9|0|7
69,76,67,1,7,0|9|29|5
73,77,92,1,7,0|9|67|5
54,71,77,1,7,0|9|0|11
83,80,78,1,7,0|9|27|5
79,73,79,1,7,0|9|0|7
76,74,74,1,7,0|9|0|8
64,75,76,1,7,0|9|0|10
72,78,92,1,7,0|9|49|5
79,86,73,1,7,0|9|11|5
73,82,81,1,7,0|9|0|9
52,66,73,1,7,0|9|0|11
78,75,71,1,7,0|9|0|6
63,79,84,1,7,0|9|0|9
74,71,73,1,7,0|9|0|6
70,87,80,1,7,0|9|24|6
48,69,79,1,7,0|9|29|10
80,78,71,1,7,0|9|45|5
65,72,74,1,7,0|9|0|9
52,74,72,1,7,0|9|23|9
81,72,83,1,7,0|9|0|6
73,81,79,1,7,0|9|0|9
59,60,74,1,7,0|9|9|10
69,68,82,1,7,0|9|0|8
67,63,84,1,7,0|9|55|6
64,77,82,1,7,0|9|0|10
58,62,75,1,7,0|9|17|10
50,71,80,1,7,0|9|7|10
67,80,70,1,7,0|9|31|5
78,71,76,1,7,0|9|7|5
70,86,83,1,7,0|9|16|6
77,73,82,1,7,0|9|0|8
67,69,80,1,7,0|9|0|9
74,77,68,1,7,0|9|0|6
58,62,79,1,7,0|9|29|9
77,87,77,1,7,0|9|55|5
66,68,79,1,7,0|9|0|9
76,72,70,1,7,0|9|10|5
83,70,83,1,7,0|9|51|5
79,82,71,1,7,0|9|13|5
58,63,74,1,7,0|9|51|8
56,80,85,1,7,0|9|24|7
64,76,74,1,7,0|9|0|10
67,75,73,1,7,0|9|0|8
59,63,78,1,7,0|9|19|9
51,57,74,1,7,0|9|0|12
76,67,84,1,7,0|9|55|6
69,70,82,1,7,0|9|0|10
49,61,69,1,7,0|9|0|13
48,72,70,1,7,0|116|10|13
52,60,75,1,7,0|9|0|14
80,71,74,1,7,0|9|43|5
50,54,77,1,7,0|9|23|12
62,66,84,1,7,0|9|0|12
54,66,80,1,7,0|9|0|10
61,79,87,1,7,0|9|6|7
74,86,78,1,7,0|9|0|6
55,58,77,1,7,0|9|49|10
70,83,76,1,7,0|9|0|8
49,66,61,1,7,0|9|61|12
73,80,74,1,7,0|9|0|10
61,68,88,1,7,0|9|15|11
49,60,69,1,7,0|9|0|13
49,58,70,1,7,0|9|13|13
61,85,81,1,7,0|9|36|6
77,87,73,1,7,0|9|8|5
68,64,86,1,7,0|9|56|6
79,74,89,1,7,0|9|47|5
50,70,76,1,7,0|9|9|10
51,65,67,1,7,0|379|0|13
57,65,72,1,7,0|9|0|9
54,72,69,1,7,0|379|10|13
64,79,80,1,7,0|9|0|9
76,86,71,1,7,0|9|11|5
50,75,68,1,7,0|116|52|11
52,57,71,1,7,0|9|0|12
51,64,66,1,7,0|9|41|12
68,67,77,1,7,0|9|0|8
68,70,84,1,7,0|9|0|9
52,72,75,1,7,0|379|41|17
54,72,83,1,7,0|9|38|9
65,73,71,1,7,0|9|0|14
56,63,70,1,7,0|9|0|11
69,70,89,1,7,0|9|0|7
64,70,70,1,7,0|9|32|8
54,63,83,1,7,0|9|37|9
67,83,83,1,7,0|9|0|7
72,81,75,1,7,0|9|0|9
55,54,74,1,7,0|9|18|11
78,81,88,1,7,0|9|66|5
64,79,85,1,7,0|9|0|9
73,69,85,1,7,0|9|0|7
51,65,72,1,7,0|379|0|15
49,75,65,1,7,0|116|24|12
49,76,68,1,7,0|116|24|12
69,74,91,1,7,0|9|6|7
71,74,89,1,7,0|9|0|7
54,78,81,1,7,0|9|58|9
81,79,71,1,7,0|9|6|5
49,55,69,1,7,0|9|43|12
47,68,71,1,7,0|9|66|10
74,71,82,1,7,0|9|0|8
69,80,88,1,7,0|9|19|6
69,72,86,1,7,0|9|0|10
66,70,90,1,7,0|9|6|7
67,63,86,1,7,0|9|13|18
64,70,86,1,7,0|9|0|8
62,64,81,1,7,0|9|0|11
71,75,73,1,7,0|9|0|8
67,72,70,1,7,0|9|12|13
50,57,67,1,7,0|9|42|12
64,76,85,1,7,0|9|0|10
60,72,89,1,7,0|9|26|7
72,67,81,1,7,0|9|26|7
77,80,73,1,7,0|9|0|8
67,67,90,1,7,0|9|56|6
64,74,93,1,7,0|9|24|7
77,76,75,1,7,0|9|0|9
56,67,67,1,7,0|379|24|12
72,78,76,1,7,0|9|0|10
64,65,82,1,7,0|9|27|7
64,77,74,1,7,0|9|0|9
58,78,83,1,7,0|9|8|7
76,73,67,1,7,0|9|28|5
55,66,68,1,7,0|9|7|12
66,82,82,1,7,0|9|0|8
74,82,76,1,7,0|9|0|8
48,69,69,1,7,0|9|35|11
72,78,86,1,7,0|9|0|8
63,75,90,1,7,0|9|8|7
54,64,78,1,7,0|9|0|10
54,72,84,1,7,0|9|38|9
33,53,65,1,7,0|5312|58|17
70,70,73,1,7,0|9|0|6
70,79,68,1,7,0|9|10|5
46,56,75,1,7,0|9|37|11
56,81,81,1,7,0|9|44|7
75,84,83,1,7,0|9|0|7
43,45,66,1,7,0|9|53|16
67,73,80,1,7,0|9|0|11
74,84,69,1,7,0|9|25|5
67,65,69,1,7,0|65|57|14
74,75,68,1,7,0|9|21|5
71,74,83,1,7,0|9|0|10
54,74,73,1,7,0|9|21|9
72,74,79,1,7,0|9|0|10
47,67,73,1,7,0|9|0|11
59,76,71,1,7,0|9|32|8
65,74,70,1,7,0|9|20|14
50,67,76,1,7,0|9|0|11
63,73,71,1,7,0|9|0|8
67,73,82,1,7,0|9|0|11
67,64,82,1,7,0|9|56|6
73,77,69,1,7,0|9|0|6
51,73,75,1,7,0|9|37|9
78,86,76,1,7,0|9|27|5
58,57,76,1,7,0|9|52|10
46,63,77,1,7,0|9|29|10
69,80,84,1,7,0|9|0|9
47,56,73,1,7,0|9|24|12
58,68,72,1,7,0|9|0|10
61,69,83,1,7,0|9|0|13
72,76,86,1,7,0|9|0|8
45,52,75,1,7,0|9|56|11
76,84,69,1,7,0|9|10|5
68,75,70,1,7,0|9|0|6
71,87,75,1,7,0|9|0|6
65,71,72,1,7,0|9|0|9
43,58,72,1,7,0|9|59|14
66,71,85,1,7,0|9|0|8
72,74,90,1,7,0|9|0|6
78,70,81,1,7,0|9|0|6
45,66,71,1,7,0|9|65|10
65,72,81,1,7,0|9|0|10
63,71,89,1,7,0|9|6|7
78,68,87,1,7,0|9|47|5
65,81,71,1,7,0|9|33|5
49,54,75,1,7,0|9|37|11
73,68,87,1,7,0|9|44|5
71,81,70,1,7,0|9|0|6
77,73,81,1,7,0|9|0|8
70,75,84,1,7,0|9|0|9
66,72,91,1,7,0|9|9|7
68,85,87,1,7,0|9|50|6
42,58,70,1,7,0|116|56|14
79,70,80,1,7,0|9|48|5
61,69,75,1,7,0|9|0|10
66,75,76,1,7,0|9|0|11
83,74,84,1,7,0|9|49|5
71,81,76,1,7,0|9|0|9
60,74,86,1,7,0|9|23|7
66,74,87,1,7,0|9|0|9
82,73,75,1,7,0|9|7|5
69,75,83,1,7,0|9|0|11
